,Sample Times,,2/8/2016 12:12:25 PM,2/8/2016 12:12:26 PM,2/8/2016 12:12:27 PM,2/8/2016 12:12:28 PM,2/8/2016 12:12:29 PM,2/8/2016 12:12:30 PM,2/8/2016 12:12:31 PM,2/8/2016 12:12:32 PM,2/8/2016 12:12:33 PM,2/8/2016 12:12:34 PM,2/8/2016 12:12:35 PM,2/8/2016 12:12:36 PM,2/8/2016 12:12:37 PM,2/8/2016 12:12:38 PM,2/8/2016 12:12:39 PM,2/8/2016 12:12:40 PM,2/8/2016 12:12:41 PM,2/8/2016 12:12:42 PM,2/8/2016 12:12:43 PM,2/8/2016 12:12:45 PM,2/8/2016 12:12:46 PM,2/8/2016 12:12:47 PM,2/8/2016 12:12:48 PM,2/8/2016 12:12:49 PM,2/8/2016 12:12:50 PM,2/8/2016 12:12:51 PM,2/8/2016 12:12:52 PM,2/8/2016 12:12:53 PM,2/8/2016 12:12:54 PM,2/8/2016 12:12:55 PM,2/8/2016 12:12:56 PM,2/8/2016 12:12:57 PM,2/8/2016 12:12:58 PM,2/8/2016 12:12:59 PM,2/8/2016 12:13:00 PM,2/8/2016 12:13:01 PM,2/8/2016 12:13:02 PM,2/8/2016 12:13:03 PM,2/8/2016 12:13:04 PM,2/8/2016 12:13:05 PM,2/8/2016 12:13:06 PM,2/8/2016 12:13:07 PM,2/8/2016 12:13:08 PM,2/8/2016 12:13:09 PM,2/8/2016 12:13:10 PM,2/8/2016 12:13:11 PM,2/8/2016 12:13:12 PM,2/8/2016 12:13:13 PM,2/8/2016 12:13:14 PM,2/8/2016 12:13:15 PM,2/8/2016 12:13:16 PM,2/8/2016 12:13:17 PM,2/8/2016 12:13:18 PM,2/8/2016 12:13:19 PM,2/8/2016 12:13:20 PM,2/8/2016 12:13:21 PM,2/8/2016 12:13:22 PM,2/8/2016 12:13:23 PM,2/8/2016 12:13:24 PM,2/8/2016 12:13:25 PM,2/8/2016 12:13:26 PM,2/8/2016 12:13:27 PM,2/8/2016 12:13:28 PM,2/8/2016 12:13:29 PM,2/8/2016 12:13:30 PM,2/8/2016 12:13:31 PM,2/8/2016 12:13:32 PM,2/8/2016 12:13:33 PM,2/8/2016 12:13:34 PM,2/8/2016 12:13:35 PM,2/8/2016 12:13:36 PM,2/8/2016 12:13:37 PM,2/8/2016 12:13:38 PM,2/8/2016 12:13:39 PM,2/8/2016 12:13:40 PM,2/8/2016 12:13:41 PM,2/8/2016 12:13:42 PM,2/8/2016 12:13:43 PM,2/8/2016 12:13:44 PM,2/8/2016 12:13:45 PM,2/8/2016 12:13:46 PM,2/8/2016 12:13:47 PM,2/8/2016 12:13:48 PM,2/8/2016 12:13:49 PM,2/8/2016 12:13:50 PM,2/8/2016 12:13:51 PM,2/8/2016 12:13:52 PM,2/8/2016 12:13:53 PM,2/8/2016 12:13:54 PM,2/8/2016 12:14:55 PM,2/8/2016 12:15:55 PM,2/8/2016 12:16:55 PM,2/8/2016 12:17:55 PM,2/8/2016 12:18:55 PM,2/8/2016 12:19:55 PM,2/8/2016 12:20:55 PM,2/8/2016 12:21:55 PM,2/8/2016 12:22:55 PM,2/8/2016 12:23:55 PM,2/8/2016 12:24:55 PM,2/8/2016 12:25:55 PM,2/8/2016 12:26:55 PM,2/8/2016 12:27:55 PM,2/8/2016 12:28:55 PM,2/8/2016 12:29:55 PM,2/8/2016 12:30:55 PM,2/8/2016 12:31:55 PM,2/8/2016 12:32:55 PM,2/8/2016 12:33:55 PM,2/8/2016 12:34:55 PM,2/8/2016 12:35:55 PM,2/8/2016 12:36:55 PM,2/8/2016 12:37:55 PM,2/8/2016 12:38:55 PM,2/8/2016 12:39:55 PM,2/8/2016 12:40:55 PM,2/8/2016 12:41:55 PM,2/8/2016 12:42:55 PM,2/8/2016 12:43:55 PM,2/8/2016 12:44:55 PM,2/8/2016 12:45:55 PM,2/8/2016 12:46:56 PM,2/8/2016 12:47:56 PM,2/8/2016 12:48:56 PM,2/8/2016 12:49:56 PM,2/8/2016 12:50:56 PM,2/8/2016 12:51:56 PM,2/8/2016 12:52:56 PM,2/8/2016 12:53:56 PM,2/8/2016 12:54:56 PM,2/8/2016 12:55:56 PM,2/8/2016 12:56:56 PM,2/8/2016 12:57:56 PM,2/8/2016 12:58:56 PM,2/8/2016 12:59:56 PM,2/8/2016 1:00:56 PM,2/8/2016 1:01:56 PM,2/8/2016 1:02:56 PM,2/8/2016 1:03:56 PM,2/8/2016 1:04:56 PM,2/8/2016 1:05:56 PM,2/8/2016 1:06:56 PM,2/8/2016 1:07:56 PM,2/8/2016 1:08:56 PM,2/8/2016 1:09:56 PM,2/8/2016 1:10:56 PM,2/8/2016 1:11:56 PM,2/8/2016 1:12:56 PM,2/8/2016 1:13:56 PM,2/8/2016 1:14:56 PM,2/8/2016 1:15:56 PM,2/8/2016 1:16:56 PM,2/8/2016 1:17:56 PM,2/8/2016 1:18:56 PM,2/8/2016 1:19:56 PM,2/8/2016 1:20:56 PM,2/8/2016 1:21:56 PM,2/8/2016 1:22:56 PM,2/8/2016 1:23:56 PM,2/8/2016 1:24:56 PM,2/8/2016 1:25:56 PM,2/8/2016 1:26:56 PM,2/8/2016 1:27:56 PM,2/8/2016 1:28:56 PM,2/8/2016 1:29:56 PM,2/8/2016 1:30:56 PM,2/8/2016 1:31:56 PM,2/8/2016 1:32:56 PM,2/8/2016 1:33:56 PM,2/8/2016 1:34:56 PM,2/8/2016 1:35:56 PM,2/8/2016 1:36:56 PM,2/8/2016 1:37:56 PM,2/8/2016 1:38:56 PM,2/8/2016 1:39:56 PM,2/8/2016 1:40:56 PM,2/8/2016 1:41:56 PM,2/8/2016 1:42:56 PM,2/8/2016 1:43:56 PM,2/8/2016 1:44:56 PM,2/8/2016 1:45:56 PM,2/8/2016 1:46:56 PM,2/8/2016 1:47:56 PM,2/8/2016 1:48:57 PM,2/8/2016 1:49:57 PM,2/8/2016 1:50:57 PM,2/8/2016 1:51:57 PM,2/8/2016 1:52:57 PM,2/8/2016 1:53:57 PM,2/8/2016 1:54:57 PM,2/8/2016 1:55:57 PM,2/8/2016 1:56:57 PM,2/8/2016 1:57:57 PM,2/8/2016 1:58:57 PM,2/8/2016 1:59:57 PM,2/8/2016 2:00:57 PM,2/8/2016 2:01:57 PM,2/8/2016 2:02:57 PM,2/8/2016 2:03:57 PM,2/8/2016 2:04:57 PM,2/8/2016 2:05:57 PM,2/8/2016 2:06:57 PM,2/8/2016 2:07:57 PM,2/8/2016 2:08:57 PM,2/8/2016 2:09:57 PM,2/8/2016 2:10:57 PM,2/8/2016 2:11:57 PM,2/8/2016 2:12:57 PM,2/8/2016 2:13:57 PM,2/8/2016 2:14:57 PM,2/8/2016 2:15:57 PM,2/8/2016 2:16:57 PM,2/8/2016 2:17:57 PM,2/8/2016 2:18:57 PM,2/8/2016 2:19:57 PM,2/8/2016 2:20:57 PM,2/8/2016 2:21:57 PM,2/8/2016 2:22:57 PM,2/8/2016 2:23:57 PM,2/8/2016 2:24:57 PM,2/8/2016 2:25:57 PM,2/8/2016 2:26:57 PM,2/8/2016 2:27:57 PM,2/8/2016 2:28:57 PM,2/8/2016 2:29:57 PM,2/8/2016 2:30:57 PM,2/8/2016 2:31:57 PM,2/8/2016 2:32:57 PM,2/8/2016 2:33:57 PM,2/8/2016 2:34:57 PM,2/8/2016 2:35:57 PM,2/8/2016 2:36:57 PM,2/8/2016 2:37:57 PM,2/8/2016 2:38:57 PM,2/8/2016 2:39:57 PM,2/8/2016 2:40:57 PM,2/8/2016 2:41:57 PM,2/8/2016 2:42:57 PM,2/8/2016 2:43:57 PM,2/8/2016 2:44:57 PM,2/8/2016 2:45:57 PM,2/8/2016 2:46:57 PM,2/8/2016 2:47:57 PM,2/8/2016 2:48:57 PM,2/8/2016 2:49:57 PM,2/8/2016 2:50:58 PM,2/8/2016 2:51:58 PM,2/8/2016 2:52:58 PM,2/8/2016 2:53:58 PM,2/8/2016 2:54:58 PM,2/8/2016 2:55:58 PM,2/8/2016 2:56:58 PM,2/8/2016 2:57:58 PM,2/8/2016 2:58:58 PM,2/8/2016 2:59:58 PM,2/8/2016 3:00:58 PM,2/8/2016 3:01:58 PM,2/8/2016 3:02:58 PM,2/8/2016 3:03:58 PM,2/8/2016 3:04:58 PM,2/8/2016 3:05:58 PM,2/8/2016 3:06:58 PM,2/8/2016 3:07:58 PM,2/8/2016 3:08:58 PM,2/8/2016 3:09:58 PM,2/8/2016 3:10:58 PM,2/8/2016 3:11:58 PM,2/8/2016 3:12:58 PM,2/8/2016 3:13:58 PM,2/8/2016 3:14:58 PM,2/8/2016 3:15:58 PM,2/8/2016 3:16:58 PM,2/8/2016 3:17:58 PM,2/8/2016 3:18:58 PM,2/8/2016 3:19:58 PM,2/8/2016 3:20:58 PM,2/8/2016 3:21:58 PM,2/8/2016 3:22:58 PM,2/8/2016 3:23:58 PM,2/8/2016 3:24:58 PM,2/8/2016 3:25:58 PM,2/8/2016 3:26:58 PM,2/8/2016 3:27:58 PM,2/8/2016 3:28:58 PM,2/8/2016 3:29:58 PM,2/8/2016 3:30:58 PM,2/8/2016 3:31:58 PM,2/8/2016 3:32:58 PM,2/8/2016 3:33:58 PM,2/8/2016 3:34:58 PM,2/8/2016 3:35:58 PM,2/8/2016 3:36:58 PM,2/8/2016 3:37:58 PM,2/8/2016 3:38:58 PM,2/8/2016 3:39:58 PM,2/8/2016 3:40:58 PM,2/8/2016 3:41:58 PM,2/8/2016 3:42:58 PM,2/8/2016 3:43:58 PM,2/8/2016 3:44:58 PM,2/8/2016 3:45:58 PM,2/8/2016 3:46:58 PM,2/8/2016 3:47:58 PM,2/8/2016 3:48:58 PM,2/8/2016 3:49:58 PM,2/8/2016 3:50:58 PM,2/8/2016 3:51:58 PM,2/8/2016 3:52:59 PM,2/8/2016 3:53:59 PM,2/8/2016 3:54:59 PM,2/8/2016 3:55:59 PM,2/8/2016 3:56:59 PM,2/8/2016 3:57:59 PM,2/8/2016 3:58:59 PM,2/8/2016 3:59:59 PM,2/8/2016 4:00:58 PM,2/8/2016 4:01:58 PM,2/8/2016 4:02:58 PM,2/8/2016 4:03:58 PM,2/8/2016 4:04:58 PM,2/8/2016 4:05:58 PM,2/8/2016 4:06:58 PM,2/8/2016 4:07:58 PM,2/8/2016 4:08:58 PM,2/8/2016 4:09:58 PM,2/8/2016 4:10:58 PM,2/8/2016 4:11:58 PM,2/8/2016 4:12:58 PM,2/8/2016 4:13:58 PM,2/8/2016 4:14:58 PM,2/8/2016 4:15:58 PM,2/8/2016 4:16:58 PM,2/8/2016 4:17:58 PM,2/8/2016 4:18:58 PM,2/8/2016 4:19:58 PM,2/8/2016 4:20:58 PM,2/8/2016 4:21:58 PM,2/8/2016 4:22:58 PM,2/8/2016 4:23:58 PM,2/8/2016 4:24:58 PM,2/8/2016 4:25:58 PM,2/8/2016 4:26:58 PM,2/8/2016 4:27:58 PM,2/8/2016 4:28:58 PM,2/8/2016 4:29:58 PM,2/8/2016 4:30:58 PM,2/8/2016 4:31:58 PM,2/8/2016 4:32:58 PM,2/8/2016 4:33:59 PM,2/8/2016 4:34:59 PM,2/8/2016 4:35:59 PM,2/8/2016 4:36:59 PM,2/8/2016 4:37:59 PM,2/8/2016 4:38:59 PM,2/8/2016 4:39:59 PM,2/8/2016 4:40:59 PM,2/8/2016 4:41:59 PM,2/8/2016 4:42:59 PM,2/8/2016 4:43:59 PM,2/8/2016 4:44:59 PM,2/8/2016 4:45:59 PM,2/8/2016 4:46:59 PM,2/8/2016 4:47:59 PM,2/8/2016 4:48:59 PM,2/8/2016 4:49:59 PM,2/8/2016 4:50:59 PM,2/8/2016 4:51:59 PM
1,vlan1232.usb-cp-core-a.iovation.com,10.16.32.2,0,0,0,0,1,0,11,5,5,7,0,0,1,0,0,0,3,1,0,0,0,0,4,0,1,0,0,0,0,8,5,1,2,1,11,23,0,6,10,20,0,2,4,7,17,11,19,12,6,0,0,0,11,9,3,0,13,2,0,6,0,21,19,0,0,4,6,0,10,2,0,0,6,1,2,2,4,5,6,0,5,0,0,0,1,3,0,8,3,3,0,8,0,0,1,0,0,0,0,4,28,0,0,1,0,0,194,0,0,7,0,36,12,9,0,6,0,29,0,0,0,0,9,0,0,0,4,6,8,0,0,0,4,7,0,0,216,0,16,7,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,9,4,0,3,0,0,209,10,0,7,1,0,0,1,0,0,0,4,7,0,0,6,2,7,0,2,6,6,0,9,4,1,0,6,2,0,68,9,4,0,0,0,5,1,0,5,0,0,0,0,0,4,9,9,9,4,0,3,3,0,0,0,13,12,3,0,132,0,4,6,10,0,0,9,0,6,0,4,5,8,0,0,0,5,5,0,3,0,1,0,8,10,4,0,2,0,253,14,6,2,14,3,0,0,15,6,1,0,0,19,3,20,2,2,2,0,0,2,0,3,0,0,4,9,8,0,130,0,4,0,0,0,0,11,3,1,8,0,0,1,6,0,7,6,0,19,0,0,0,0,6,9,0,0,1,0,201,4,0,6,1,0,1,8,8,6,8,4,3,17,0,0,22,0,2,0,0,0,4,0,0,9,0,0,0,0,124,9,0,6,0,0,0,0,0,7,9,0,0,0,0,6,8,0,0,0,9
2, -------------- ,10.12.255.34,5,1,1,2,1,0,2,3,4,1,3,2,2,39,8,0,4,2,6,3,0,3,1,1,2,1,1,4,1,1,2,1,17,1,3,0,4,1,1,2,2,7,1,0,10,2,1,1,1,1,2,2,1,2,1,1,2,1,2,10,0,0,1,1,11,1,2,1,28,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,2,1,1,2,2,0,1,2,1,5,2,1,8,0,1,2,0,2,7,1,1,1,6,1,15,10,2,19,26,0,1,8,2,2,1,0,1,2,7,2,0,1,9,0,1,5,2,5,22,17,1,3,0,0,1,1,15,0,1,0,1,2,1,2,0,2,2,2,1,1,4,1,2,4,1,1,2,2,2,1,16,1,2,0,6,2,34,0,1,2,1,0,2,2,2,1,1,2,2,1,2,2,2,2,1,0,1,0,1,3,1,2,1,10,1,1,6,5,0,1,2,0,1,2,11,1,2,1,1,1,2,1,6,6,1,2,1,1,1,1,2,1,5,7,5,2,1,1,1,6,7,19,7,1,1,1,1,2,1,1,1,1,1,8,2,4,1,2,2,5,1,1,1,0,1,1,1,5,0,1,1,7,0,0,9,1,2,0,9,1,2,1,1,2,6,2,1,2,7,2,1,1,2,2,1,6,5,1,7,2,5,9,0,2,1,2,1,2,2,2,0,8,2,1,2,6,1,1,0,0,8,2,8,1,8,1,0,2,15,1,2,5,2,24,2,3,1,1,2,11,0,2,1,1,0,17,1,1,1,2,1,2,1,1,1,2,1,16,18,113,2,1,1,2,1,1,6,1,0,1,1,N/A
3,ae6-708-0.pdx-inet-a.iovation.com,74.121.28.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,29,0,0,0,0,0,6,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
4,ae3-0.pdx-inet-b.iovation.com,74.121.28.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
5,ge2-7.core1.pdx1.he.net,72.52.82.153,1,8,1,11,1,8,1,4,1,5,13,1,1,1,1,1,1,8,1,3,1,1,4,1,11,7,1,4,1,1,1,1,8,1,7,1,1,11,1,6,11,1,8,1,5,1,2,1,1,4,1,1,8,1,3,1,1,11,1,8,1,6,1,1,4,1,1,11,1,8,1,5,1,1,3,1,9,1,6,1,3,1,3,1,12,1,10,1,5,1,1,6,1,1,2,8,1,1,5,11,1,3,6,1,1,2,9,1,1,5,1,1,2,7,1,1,4,9,1,1,5,1,1,1,9,1,1,4,12,1,1,8,1,1,2,9,1,1,6,1,1,2,8,1,1,3,10,1,1,6,1,1,3,8,1,1,5,1,1,1,10,1,1,4,10,1,1,5,1,1,2,9,1,1,5,11,1,1,7,1,1,2,10,1,1,5,11,1,1,8,1,1,3,11,1,1,6,1,1,2,9,1,1,5,11,1,1,7,1,1,3,8,1,2,5,1,1,1,8,1,1,5,11,1,1,6,1,1,3,9,1,1,5,1,1,1,9,1,1,4,10,1,1,7,1,1,1,8,1,1,5,12,1,1,8,1,1,2,10,1,1,5,1,1,2,9,1,1,7,11,1,1,6,1,1,3,10,1,1,5,12,1,2,9,1,1,4,11,1,1,6,1,1,2,9,1,1,5,12,1,1,8,1,1,3,10,1,1,6,1,1,1,9,1,1,4,11,1,1,6,1,1,3,9,1,1,5,1,1,1,8,1,1,3,11,1,1,6,1,1,2,8,1,1,4,12,1,1,7,1,1,3,9,1,1,6,1,1,2,8,1,1,4,10,1,1,N/A
6,10ge12-7.core1.pao1.he.net,184.105.222.25,15,20,15,24,15,20,15,17,15,16,24,15,15,15,15,15,15,22,15,19,15,15,22,15,15,26,15,22,15,20,15,16,26,15,26,15,21,15,16,25,15,16,15,15,25,15,22,15,19,25,15,20,15,15,25,15,22,15,19,15,17,15,15,19,27,19,15,15,20,15,17,15,15,25,27,22,15,19,15,15,15,15,24,24,15,21,15,19,15,15,15,25,15,20,15,15,25,15,22,15,15,27,15,21,15,18,15,15,24,15,20,15,16,24,15,25,15,16,26,15,21,15,17,27,15,24,15,18,15,15,24,15,20,15,15,25,15,22,15,17,26,15,22,15,18,27,15,23,15,19,15,15,25,15,20,15,16,27,15,22,15,19,15,15,23,15,19,15,15,25,15,20,15,16,26,15,21,15,17,26,15,22,15,24,15,15,24,15,19,15,15,25,15,20,15,17,26,15,22,15,16,15,15,24,15,18,15,15,24,15,20,15,16,26,15,21,15,17,26,15,22,15,18,15,15,23,15,20,15,15,26,15,21,15,16,26,15,22,15,18,27,15,23,15,19,15,15,24,15,20,15,21,27,15,23,15,18,26,15,23,15,18,15,15,24,15,21,15,16,25,15,20,15,17,15,15,23,15,17,15,15,24,15,21,15,16,26,15,22,15,16,27,15,22,15,19,15,15,24,15,20,15,15,25,15,21,15,16,26,15,22,15,18,15,15,23,15,19,15,18,26,15,20,15,16,26,15,22,15,17,27,15,23,15,19,15,15,26,15,19,15,15,25,15,20,15,16,27,15,28,15,18,15,15,23,15,19,15,15,25,15,20,15,15,26,15,N/A
7,100ge8-1.core1.lax2.he.net,184.105.81.238,23,27,23,30,22,27,22,24,22,23,31,23,23,22,23,23,22,32,22,29,22,55,66,67,97,78,81,85,67,24,24,27,23,24,23,23,33,22,28,22,22,29,22,25,22,25,23,22,31,23,23,33,22,28,22,24,23,22,32,22,30,47,61,32,49,32,27,23,22,22,31,22,29,22,22,22,22,33,22,30,22,27,23,22,25,22,22,33,22,27,23,23,33,23,28,22,24,22,23,30,22,59,23,22,31,22,27,45,23,32,23,28,23,128,114,120,86,70,58,42,26,31,43,26,23,23,31,22,60,22,23,22,22,32,49,25,23,22,32,22,26,45,22,32,22,27,22,23,33,22,29,23,25,22,22,63,23,28,22,22,32,51,28,23,30,22,22,29,47,25,22,29,31,23,27,43,22,29,22,26,23,127,114,109,85,70,62,41,26,34,22,26,23,23,32,51,27,22,23,32,22,63,22,25,23,23,29,22,25,22,53,30,22,27,23,23,22,23,28,23,24,22,52,31,22,25,22,23,32,22,28,23,22,33,22,30,22,34,33,23,30,23,25,22,23,32,23,26,22,128,115,99,84,71,57,24,29,29,22,26,22,22,31,22,60,23,23,33,23,28,22,30,34,23,31,22,25,23,22,31,23,27,22,24,31,22,31,24,25,23,23,30,22,25,23,22,31,23,27,23,23,33,26,28,23,24,23,22,26,23,25,22,22,31,24,27,22,23,125,122,109,103,80,86,50,35,23,26,22,22,30,23,27,23,23,32,22,30,22,23,33,25,29,22,24,23,22,39,22,26,23,22,31,50,27,22,30,34,22,50,23,25,22,22,30,23,N/A
8,10ge6-3.core1.hkg1.he.net,184.105.223.170,176,187,179,176,176,187,176,184,175,182,176,175,185,180,181,182,184,176,181,175,179,187,176,176,179,176,186,176,183,176,180,176,176,176,178,176,176,184,175,180,185,175,180,176,178,175,175,185,176,181,176,176,184,176,179,176,177,175,176,185,176,183,176,176,183,175,175,176,177,175,176,185,176,182,184,179,176,176,186,175,184,176,182,181,176,178,175,176,176,181,175,179,176,176,176,175,185,176,184,176,180,176,179,176,176,176,176,186,175,183,175,182,176,179,176,177,176,175,187,176,184,176,183,176,180,176,177,175,176,175,175,186,176,186,176,181,176,181,176,177,176,175,186,176,188,176,181,175,179,176,178,176,176,186,176,185,176,183,176,181,176,179,175,177,176,175,186,175,184,176,181,176,179,176,178,176,176,186,175,183,175,182,176,181,176,178,176,176,187,176,184,176,182,176,181,175,178,176,177,187,176,186,176,184,176,180,175,181,176,177,176,176,187,176,184,176,183,176,183,176,177,175,176,176,176,184,175,183,176,181,176,179,176,177,176,176,187,176,183,176,181,176,179,175,178,176,176,186,176,184,176,182,176,181,176,178,176,176,176,176,186,176,183,176,181,176,180,176,178,176,176,185,176,185,176,183,176,180,176,177,176,178,176,176,183,176,183,176,182,176,178,176,180,176,176,187,176,184,176,181,176,180,176,177,176,176,176,176,184,176,182,175,181,176,181,176,176,176,176,185,176,184,176,181,176,178,176,177,176,175,187,176,184,176,183,176,181,176,178,176,176,185,176,184,176,183,176,181,176,178,176,176,176,176,185,176,184,176,184,176,180,176,178,176,176,176,N/A
9,,-,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,N/A
10,,-,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,N/A
